diacritical_marks_vietnamese,no_accents_mark_vietnamese
Tôi đã phải học tập một cách chăm chỉ để có thể theo kịp các bạn sinh viên khác.,Toi da phai hoc tap mot cach cham chi de co the theo kip cac ban sinh vien khac.
Tôi đã phải học tập chăm chỉ để có thể theo kịp các sinh viên khác.,Toi da phai hoc tap cham chi de co the theo kip cac sinh vien khac.
"Từ khi sự cố tràn dầu mới đây xảy ra, tôi đã không ăn một chút hải sản nào.","Tu khi su co tran dau moi day xay ra, toi da khong an mot chut hai san nao."
Tôi đã thất vọng khi nghe tin bạn không thể tới.,Toi da that vong khi nghe tin ban khong the toi.
"Sáng nay tôi đi câu cá, nhưng không câu được gì cả.","Sang nay toi di cau ca, nhung khong cau duoc gi ca."
Tôi có lẽ đã ngủ ngon hơn vào ban đêm nếu các cánh cửa có khóa.,Toi co le da ngu ngon hon vao ban dem neu cac canh cua co khoa.
Tôi sẽ rất lấy làm cảm kích nếu chúng ta có thể bàn về điều đó ngay bây giờ.,Toi se rat lay lam cam kich neu chung ta co the ban ve dieu do ngay bay gio.
"Tôi mệt, nhưng tôi vẫn còn rất nhiều việc phải làm.","Toi met, nhung toi van con rat nhieu viec phai lam."
"Tôi mặc dù mệt, nhưng tôi vẫn còn nhiều việc cần làm.","Toi mac du met, nhung toi van con nhieu viec can lam."
"Nếu chúng ta không cẩn thận, thì điều tương tự sẽ xảy đến với chúng ta.","Neu chung ta khong can than, thi dieu tuong tu se xay den voi chung ta."
"Nếu bạn mong muốn một cuộc sống yên ả lúc về già, thì bây giờ hãy bắt đầu tiết kiệm đi.","Neu ban mong muon mot cuoc song yen a luc ve gia, thi bay gio hay bat dau tiet kiem di."
"Nếu bạn mong muốn một cuộc sống an nhàn lúc về già, thì hãy bắt đầu tiết kiệm từ bây giờ.","Neu ban mong muon mot cuoc song an nhan luc ve gia, thi hay bat dau tiet kiem tu bay gio."
"Nếu bạn muốn sống một cuộc sống an nhàn lúc về già, thì hãy bắt đầu tiết kiệm từ bây giờ.","Neu ban muon song mot cuoc song an nhan luc ve gia, thi hay bat dau tiet kiem tu bay gio."
Phải mất nhiều năm thì cây cầu này mới có thể sẵn sàng đi vào hoạt động.,Phai mat nhieu nam thi cay cau nay moi co the san sang di vao hoat dong.
Hồ Baikal ở Nga là hồ nước sâu nhất trên thế giới.,Ho Baikal o Nga la ho nuoc sau nhat tren the gioi.
Gặp tôi tại hành lang của khách sạn Hoàng Gia vào lúc 6:30 tối.,Gap toi tai hanh lang cua khach san Hoang Gia vao luc 6:30 toi.
Em trai tôi rất là tự tin. Ít nhất chính nó nghĩ như vậy.,Em trai toi rat la tu tin. It nhat chinh no nghi nhu vay.
Cha tôi khuyến khích tôi học đàn piano.,Cha toi khuyen khich toi hoc dan piano.
Cha tôi khuyến khích tôi học đàn dương cầm.,Cha toi khuyen khich toi hoc dan duong cam.
"Trong ba cậu bé đó, cậu bé trẻ tuổi nhất là người hấp dẫn nhất.","Trong ba cau be do, cau be tre tuoi nhat la nguoi hap dan nhat."
Một người không thể học làm bất kỳ thứ gì mà không gây ra lỗi lầm cả.,Mot nguoi khong the hoc lam bat ky thu gi ma khong gay ra loi lam ca.
Vui lòng trả quyển sách nếu bạn đã đọc xong.,Vui long tra quyen sach neu ban da doc xong.
Cô ấy nhìn có vẻ trẻ thật đấy nhưng thật sự thì cô ta già hơn cậu nhiều.,Co ay nhin co ve tre that day nhung that su thi co ta gia hon cau nhieu.
Cô ấy dành nhiều thời gian nghĩ về công việc hơn là thời gian để làm việc.,Co ay danh nhieu thoi gian nghi ve cong viec hon la thoi gian de lam viec.
Cô ấy dành nhiều thời gian để nghĩ về công việc hơn là thời gian để làm việc.,Co ay danh nhieu thoi gian de nghi ve cong viec hon la thoi gian de lam viec.
Một số thành viên của chúng tôi đã không thể tham gia cuộc họp được.,Mot so thanh vien cua chung toi da khong the tham gia cuoc hop duoc.
Một số thành viên của chúng tôi không thể tham dự được cuộc họp.,Mot so thanh vien cua chung toi khong the tham du duoc cuoc hop.
Một số người không thích lươn vì trông bọn nó giống rắn.,Mot so nguoi khong thich luon vi trong bon no giong ran.
Một số người không thích lươn vì trông chúng giống rắn.,Mot so nguoi khong thich luon vi trong chung giong ran.
Cô gái mà đã tặng cho tôi những bông hoa đẹp là chị gái bạn.,Co gai ma da tang cho toi nhung bong hoa dep la chi gai ban.
Cô gái mà đã tặng cho tôi những bông hoa đẹp là em gái bạn.,Co gai ma da tang cho toi nhung bong hoa dep la em gai ban.
Chặng cuối của cuộc hành trình của chúng tôi sẽ là khó khăn nhất.,Chang cuoi cua cuoc hanh trinh cua chung toi se la kho khan nhat.
Cảnh sát đang điều tra nguyên nhân của vụ tai nạn.,Canh sat dang dieu tra nguyen nhan cua vu tai nan.
Xe lửa sẽ di chuyển ở vận tốc 50 dặm một giờ.,Xe lua se di chuyen o van toc 50 dam mot gio.
Những triệu chứng cai thuốc còn trầm trọng hơn tôi tưởng.,Nhung trieu chung cai thuoc con tram trong hon toi tuong.
Họ đã đưa cho anh ấy một ly nước cam pha với rượu vodka.,Ho da dua cho anh ay mot ly nuoc cam pha voi ruou vodka.
Tom bối rối mỗi khi nó nói chuyện trước công chúng.,Tom boi roi moi khi no noi chuyen truoc cong chung.
Tom trở nên lo lắng khi nó phải nói chuyện ở nơi công cộng.,Tom tro nen lo lang khi no phai noi chuyen o noi cong cong.
Tom đã không biết chỗ gỗ đó dùng để làm gì.,Tom da khong biet cho go do dung de lam gi.
"Tom chưa bao giờ hẹn hò với cô gái nào có tên kết thúc bằng chữ ""s"".","Tom chua bao gio hen ho voi co gai nao co ten ket thuc bang chu ""s""."
Tom có thể nói ra một điều gì đó mà chúng ta không muốn nghe.,Tom co the noi ra mot dieu gi do ma chung ta khong muon nghe.
Tom nói rằng anh ấy không nghĩ nó an toàn để bạn làm điều đó.,Tom noi rang anh ay khong nghi no an toan de ban lam dieu do.
Tom sẽ không bao giờ quên quãng thời gian Mary ở bên anh ấy.,Tom se khong bao gio quen quang thoi gian Mary o ben anh ay.
Bạn có giữ liên lạc với các bạn cùng lớp cấp ba không?,Ban co giu lien lac voi cac ban cung lop cap ba khong?
Đi bộ từ đây đến nhà ga mất nửa tiếng.,Di bo tu day den nha ga mat nua tieng.
"Ngoài tiếng Pháp ra, anh ta còn có thể nói tiếng Tây Ban Nha.","Ngoai tieng Phap ra, anh ta con co the noi tieng Tay Ban Nha."
Tôi đồng ý với ý kiến rằng bất động sản bị định giá quá cao.,Toi dong y voi y kien rang bat dong san bi dinh gia qua cao.
Tôi không nghĩ là Tom biết Mary có làm được điều đó hay không.,Toi khong nghi la Tom biet Mary co lam duoc dieu do hay khong.
Tôi cho rằng anh Tom sẽ không đời nào tính đến chuyện bán chiếc ô tô cổ điển của mình đâu.,Toi cho rang anh Tom se khong doi nao tinh den chuyen ban chiec o to co dien cua minh dau.
Tôi nghĩ anh Tom sẽ không bao giờ tính đến chuyện bán chiếc xe hơi cổ của mình đâu.,Toi nghi anh Tom se khong bao gio tinh den chuyen ban chiec xe hoi co cua minh dau.
Tôi không cho là Tom sẽ tính đến việc bán cái ô tô cổ của ông ta đâu.,Toi khong cho la Tom se tinh den viec ban cai o to co cua ong ta dau.
Tôi muốn ăn một chút đồ ăn không cay của Hàn.,Toi muon an mot chut do an khong cay cua Han.
Tôi ước là tôi có thể thôi nghĩ về chuyện đã xảy ra.,Toi uoc la toi co the thoi nghi ve chuyen da xay ra.
Tôi chưa bao giờ mượn bất kì thứ gì của bạn mà không hỏi trước cả.,Toi chua bao gio muon bat ki thu gi cua ban ma khong hoi truoc ca.
Tôi mừng khi thấy gần đây sếp rất khỏe mạnh.,Toi mung khi thay gan day sep rat khoe manh.
"Nếu có cơ hội, tôi nhất định sẽ đi du lịch Bắc Kinh.","Neu co co hoi, toi nhat dinh se di du lich Bac Kinh."
Bạn sẽ mất vài tuần để quen với việc đội tóc giả.,Ban se mat vai tuan de quen voi viec doi toc gia.
Bạn sẽ mất vài tuần để quen với việc đội một bộ tóc giả.,Ban se mat vai tuan de quen voi viec doi mot bo toc gia.
Cô ấy đã bị tổn thương khi thấy rằng không một ai để tâm đến cô ấy.,Co ay da bi ton thuong khi thay rang khong mot ai de tam den co ay.
Việc duy nhất Tom thích sau bữa tối là xem TV.,Viec duy nhat Tom thich sau bua toi la xem TV.
Phong cảnh của dãy Alps đã để lại trong tôi một ấn tượng khó phai.,Phong canh cua day Alps da de lai trong toi mot an tuong kho phai.
Cá voi là một loài động vật có vú khổng lồ sống ở biển.,Ca voi la mot loai dong vat co vu khong lo song o bien.
Cá voi là một loài động vật có vú khổng lồ sống ở đại dương.,Ca voi la mot loai dong vat co vu khong lo song o dai duong.
Họ đang tiết kiệm tiền để mua nhà.,Ho dang tiet kiem tien de mua nha.
Họ đang tiết kiệm tiền để mua một căn nhà.,Ho dang tiet kiem tien de mua mot can nha.
Họ đang tiết kiệm tiền để mua một căn nhà mới.,Ho dang tiet kiem tien de mua mot can nha moi.
Họ đang tiết kiệm tiền để mua nhà mới.,Ho dang tiet kiem tien de mua nha moi.
Bọn họ sợ tới nỗi không làm gì được.,Bon ho so toi noi khong lam gi duoc.
Bọn họ sợ đến mức không làm gì được.,Bon ho so den muc khong lam gi duoc.
"Tom và Mary bước ra khỏi phòng, để lại John một mình.","Tom va Mary buoc ra khoi phong, de lai John mot minh."
Tom không phải nói về điều đó nếu anh ta không muốn.,Tom khong phai noi ve dieu do neu anh ta khong muon.
Tom không biết liệu Mary có đi cắm trại với bọn tôi hay không.,Tom khong biet lieu Mary co di cam trai voi bon toi hay khong.
Tom nói điều gì đó thô thiển về cách ăn mặc của Mary.,Tom noi dieu gi do tho thien ve cach an mac cua Mary.
Tom nói là anh ấy biết Mary đã học cách làm điều đó ở đâu.,Tom noi la anh ay biet Mary da hoc cach lam dieu do o dau.
Tom bắt đầu chơi gôn lúc anh ta 13 tuổi.,Tom bat dau choi gon luc anh ta 13 tuoi.
Tom đã bắt đầu chơi gôn lúc ông ta 13 tuổi.,Tom da bat dau choi gon luc ong ta 13 tuoi.
Tom đã bắt đầu chơi gôn lúc cậu ta 13 tuổi.,Tom da bat dau choi gon luc cau ta 13 tuoi.
"Ai cũng biết là Tom không cần phải đi đến Boston, ngoại trừ Tom.","Ai cung biet la Tom khong can phai di den Boston, ngoai tru Tom."
Ai cũng muốn tin rằng mọi giấc mơ đều có thể trở thành hiện thực.,Ai cung muon tin rang moi giac mo deu co the tro thanh hien thuc.
Anh ấy có thói quen vừa ăn vừa đọc báo.,Anh ay co thoi quen vua an vua doc bao.
Anh ấy có thói quen vừa ăn vừa đọc báo.,Anh ay co thoi quen vua an vua doc bao.
Anh ta không bao giờ để tâm việc tôi bận ra sao.,Anh ta khong bao gio de tam viec toi ban ra sao.
Bạn nghĩ là trong ba năm tới con gái tôi sẽ cao đến đâu?,Ban nghi la trong ba nam toi con gai toi se cao den dau?
"Tôi nghe không rõ, làm ơn lặp lại.","Toi nghe khong ro, lam on lap lai."
Tôi không muốn sống ở Boston nhiều hơn 3 năm.,Toi khong muon song o Boston nhieu hon 3 nam.
Tôi đang bắt đầu nghi ngờ là chuyện đó sẽ không xảy ra.,Toi dang bat dau nghi ngo la chuyen do se khong xay ra.
Bố mẹ tôi đang đi xa còn tôi thì ở nhà một mình.,Bo me toi dang di xa con toi thi o nha mot minh.
"Cha mẹ tôi đang đi xa, còn tôi thì ở nhà một mình.","Cha me toi dang di xa, con toi thi o nha mot minh."
"Cho dù bạn có cố gắng thế nào đi chăng nữa, thì bạn cũng không thể làm xong việc đó trong một ngày được đâu.","Cho du ban co co gang the nao di chang nua, thi ban cung khong the lam xong viec do trong mot ngay duoc dau."
Mọi người thường nghĩ rằng chỉ có con người mới có thể sử dụng ngôn nghĩ.,Moi nguoi thuong nghi rang chi co con nguoi moi co the su dung ngon nghi.
Lượng khí CO2 đã tăng 10 phần trăm.,Luong khi CO2 da tang 10 phan tram.
Lượng khí các-bon đi-ô-xít đã tăng 10%.,Luong khi cac-bon di-o-xit da tang 10%.
Ngày diễn ra lễ hội trùng với ngày diễn ra kỳ thi.,Ngay dien ra le hoi trung voi ngay dien ra ky thi.
Có rất nhiều lý do để giải thích vì sao một căn nhà bị bỏ trống.,Co rat nhieu ly do de giai thich vi sao mot can nha bi bo trong.
Sẽ có một đợt khủng hoảng kinh tế vào cuối năm nay.,Se co mot dot khung hoang kinh te vao cuoi nam nay.
Tom nói là anh ấy có cảm giác mình đã quên một điều gì đó.,Tom noi la anh ay co cam giac minh da quen mot dieu gi do.
"Lúc đó, Tom quét sàn phòng bếp trong khi Mary rửa bát.","Luc do, Tom quet san phong bep trong khi Mary rua bat."
Tom dạy lịch sử ở trường trung học phía bên kia đường.,Tom day lich su o truong trung hoc phia ben kia duong.
Tom nói với tôi rằng Mary nói là cô ấy không muốn làm việc đó nữa.,Tom noi voi toi rang Mary noi la co ay khong muon lam viec do nua.
Tom tháo kính khỏi gương mặt Mary và hai người trao nhau nụ hôn mãnh liệt.,Tom thao kinh khoi guong mat Mary va hai nguoi trao nhau nu hon manh liet.
Tốt hơn là mình nên nhanh chóng chuẩn bị cho xong vì mưa không đợi ai đâu.,Tot hon la minh nen nhanh chong chuan bi cho xong vi mua khong doi ai dau.
46 triệu người Mỹ sống dưới ngưỡng nghèo trong năm 2010.,46 trieu nguoi My song duoi nguong ngheo trong nam 2010.
Cẩn thận đừng chạy ngược chiều khi lưu thông trên đường một chiều.,Can than dung chay nguoc chieu khi luu thong tren duong mot chieu.
Em giữ yên lặng được không? Mai anh phải dậy đi làm sớm.,Em giu yen lang duoc khong? Mai anh phai day di lam som.
Đừng tủi thân. Chúng ta cùng chung cảnh ngộ mà.,Dung tui than. Chung ta cung chung canh ngo ma.
Tôi có thể kể cho cậu mọi chi tiết nếu cậu muốn biết về chúng.,Toi co the ke cho cau moi chi tiet neu cau muon biet ve chung.
"Ăn tối ở đâu cũng được, tùy bạn thôi.","An toi o dau cung duoc, tuy ban thoi."
Tôi ghé qua hiệu sách và mua một cuốn sách thú vị.,Toi ghe qua hieu sach va mua mot cuon sach thu vi.
Tôi vẫn nghĩ là Tom không hiểu chuyện gì đang xảy ra.,Toi van nghi la Tom khong hieu chuyen gi dang xay ra.
Tôi vẫn cho rằng Tom không hiểu chuyện gì đang xảy ra.,Toi van cho rang Tom khong hieu chuyen gi dang xay ra.
"Tôi nghĩ là hôm qua Tom không đi chạy bộ, nhưng mà tôi không chắc.","Toi nghi la hom qua Tom khong di chay bo, nhung ma toi khong chac."
Tôi nghĩ chúng ta cần phải tìm ra là Tom định đưa cái đó cho ai.,Toi nghi chung ta can phai tim ra la Tom dinh dua cai do cho ai.
Tôi nghĩ là chúng ta cần phải tìm cho ra là Tom định đưa nó cho ai.,Toi nghi la chung ta can phai tim cho ra la Tom dinh dua no cho ai.
Tôi đã nghĩ là Tom sẽ trồng những cây hóa đó gần cây sồi.,Toi da nghi la Tom se trong nhung cay hoa do gan cay soi.
Tôi muốn dành ít thời gian làm việc và dành nhiều thời gian ở nhà hơn.,Toi muon danh it thoi gian lam viec va danh nhieu thoi gian o nha hon.
Tôi sẽ phải tiếp quản công việc của bố trong tương lai.,Toi se phai tiep quan cong viec cua bo trong tuong lai.
Nhổ cỏ thì phải nhổ tận gốc.,Nho co thi phai nho tan goc.
"Tại Singapre, có môt cách để trừng phạt tội phạm là đánh đòn.","Tai Singapre, co mot cach de trung phat toi pham la danh don."
"Ở Singapore, đánh bằng roi là một hình thức trừng phạt.","O Singapore, danh bang roi la mot hinh thuc trung phat."
